Transaction_ID,Date,Amount,Category,Account_Type,Transaction_Type
1,2023-03-17,270.77,Healthcare,Credit Card,Debit
2,2023-06-30,272.71,Entertainment,Savings,Debit
3,2023-10-09,992.51,Healthcare,Checking,Credit
4,2023-05-09,132.22,Groceries,Savings,Debit
5,2024-01-08,108.53,Entertainment,Savings,Credit
6,2024-04-12,375.01,Rent,Savings,Debit
7,2023-04-08,16.37,Rent,Savings,Debit
8,2024-04-28,620.1,Groceries,Checking,Credit
9,2023-12-26,345.26,Utilities,Checking,Credit
10,2023-12-01,508.5,Transport,Credit Card,Debit
11,2023-04-15,623.76,Utilities,Checking,Debit
12,2024-04-02,118.6,Transport,Savings,Debit
13,2023-10-13,652.98,Entertainment,Checking,Debit
14,2023-08-26,521.18,Groceries,Credit Card,Debit
15,2023-09-04,319.49,Rent,Credit Card,Debit
16,2024-04-14,813.97,Transport,Savings,Debit
17,2023-03-06,174.66,Groceries,Checking,Credit
18,2023-10-02,293.95,Utilities,Checking,Debit
19,2023-04-23,408.61,Utilities,Checking,Debit
20,2023-09-17,26.43,Healthcare,Checking,Debit
21,2023-10-15,721.42,Groceries,Credit Card,Debit
22,2023-02-17,824.07,Rent,Checking,Credit
23,2024-04-20,685.09,Utilities,Credit Card,Credit
24,2023-09-18,306.92,Groceries,Savings,Credit
25,2023-04-18,707.76,Rent,Credit Card,Credit
26,2023-10-25,864.07,Transport,Savings,Credit
27,2023-04-05,64.1,Rent,Checking,Credit
28,2023-08-04,519.78,Utilities,Checking,Credit
29,2023-06-14,497.66,Utilities,Checking,Debit
30,2023-02-09,204.99,Healthcare,Savings,Debit
31,2023-10-14,939.19,Entertainment,Credit Card,Debit
32,2023-12-07,850.39,Rent,Checking,Credit
33,2023-10-12,574.24,Groceries,Checking,Debit
34,2023-08-17,812.09,Utilities,Credit Card,Credit
35,2023-07-29,669.27,Groceries,Checking,Debit
36,2023-03-08,962.14,Healthcare,Savings,Credit
37,2023-09-20,133.17,Transport,Savings,Debit
38,2023-06-27,224.01,Rent,Credit Card,Credit
39,2023-03-26,83.12,Entertainment,Checking,Credit
40,2024-01-23,240.5,Groceries,Savings,Debit
41,2023-07-21,846.5,Healthcare,Credit Card,Debit
42,2023-07-10,333.88,Rent,Credit Card,Debit
43,2023-09-22,481.2,Entertainment,Savings,Debit
44,2023-10-13,890.26,Utilities,Savings,Debit
45,2024-03-09,715.28,Entertainment,Checking,Credit
46,2023-05-07,24.07,Rent,Savings,Debit
47,2023-03-24,617.39,Transport,Credit Card,Credit
48,2024-03-13,479.88,Utilities,Credit Card,Debit
49,2023-12-18,43.51,Healthcare,Credit Card,Credit
50,2024-05-09,647.32,Healthcare,Checking,Credit
51,2023-07-29,614.87,Entertainment,Credit Card,Debit
52,2024-03-19,240.42,Healthcare,Credit Card,Debit
53,2024-03-06,819.1,Groceries,Credit Card,Debit
